"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","Country of Domicile","Company Name"
"ADGL","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ALLDIGITAL HOLDINGS INC","USA","AllDigital Holdings, Inc."
"ADGS","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ADGS ADVISORY INC","China","ADGS Advisory, Inc."
"ADHC","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","AMER DIVRSFD HLDGS CORP","USA","American Diversified Holdings Corp."
"ADIA","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ADIA NUTRITION INC","USA","Adia Nutrition, Inc."
"ADKT","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ADIRONDACK TRUST SARA SPS","USA","Adirondack Trust Co. (Saratoga Springs, NY)"
"ADLDY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ADELAIDE BRIGHTON UNS/ADR","Australia","Adelaide Brighton Ltd."
"ADLI","OTC Link","05/02/2017","OTC Pink No Information","Y","Common Stock","","AMER MEDICAL TECHS INC","USA","American Medical Technologies, Inc."
"ADMD","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ADVANCED MED ISOTOPE CP","USA","Advanced Medical Isotope Corp."
"ADMG","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ADAMANT DRI PRCNG &MNRLS","China","Adamant DRI Processing and Minerals Group"
"ADMT","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ADM TRONICS UNLTD INC","USA","ADM Tronics Unlimited, Inc."
"ADMV","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ADAMAS VENTURES INC","China","Adamas Ventures Inc."
"ADNY","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ADINO ENERGY CORP","USA","Adino Energy Corp."
"ADOCY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ADOCIA S/ADR","France","Adocia ACT"
"ADOOY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ADARO ENERGY PT UNSP/ADR","Indonesia","Adaro Energy PT"
"ADPXY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","AUDIO PIXELS HLDGS S/ADR","Australia","Audio Pixels Holdings Ltd"
"ADRNY","OTC Link","05/02/2017","OTCQX International Premier","N","American Depository Receipts","","KONINKLIJKE AD N.V. S/ADR","The Netherlands","Koninklijke Ahold Delhaize N.V."
"ADRZY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ANDRITZ AG UNSP/ADR","Austria","Andritz AG"
"ADSV","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ALLIED SEC INNOVATINS NEW","USA","Allied Security Innovations, Inc."
"ADTC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ADVANCED DEPOSITION TECHS","USA","Advanced Deposition Technologies, Inc."
"ADTM","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ADAPTIVE MEDIAS INC","USA","Adaptive Medias, Inc."
"ADTR","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","ALLIANCE MEDIA HLDGS INC","USA","Alliance Media Holdings Inc."
